year,age,population,sex
1989,0,370680,1
1989,0,354974,2
1989,1,379109,1
1989,1,362729,2
1989,2,397772,1
1989,2,381864,2
1989,3,387079,1
1989,3,374154,2
1989,4,399224,1
1989,4,383125,2
1989,5,403120,1
1989,5,390385,2
1989,6,374190,1
1989,6,361074,2
1989,7,361379,1
1989,7,349656,2
1989,8,374245,1
1989,8,360196,2
1989,9,366513,1
1989,9,353263,2
1989,10,365252,1
1989,10,353444,2
1989,11,358882,1
1989,11,348483,2
1989,12,374373,1
1989,12,363147,2
1989,13,369002,1
1989,13,359436,2
1989,14,367348,1
1989,14,357371,2
1989,15,372240,1
1989,15,354567,2
1989,16,386514,1
1989,16,368871,2
1989,17,377658,1
1989,17,355397,2
1989,18,350223,1
1989,18,343807,2
1989,19,321252,1
1989,19,318730,2
1989,20,328366,1
1989,20,327607,2
1989,21,331818,1
1989,21,325406,2
1989,22,340749,1
1989,22,335322,2
1989,23,332679,1
1989,23,329902,2
1989,24,350974,1
1989,24,349593,2
1989,25,373758,1
1989,25,375162,2
1989,26,386940,1
1989,26,390165,2
1989,27,395429,1
1989,27,397253,2
1989,28,412097,1
1989,28,417496,2
1989,29,401412,1
1989,29,407403,2
1989,30,403062,1
1989,30,410270,2
1989,31,391578,1
1989,31,398415,2
1989,32,383800,1
1989,32,394610,2
1989,33,367004,1
1989,33,378197,2
1989,34,378785,1
1989,34,393285,2
1989,35,353831,1
1989,35,368733,2
1989,36,367021,1
1989,36,383364,2
1989,37,364720,1
1989,37,378440,2
1989,38,362303,1
1989,38,381820,2
1989,39,378533,1
1989,39,403483,2
1989,40,331739,1
1989,40,353979,2
1989,41,287001,1
1989,41,308456,2
1989,42,284709,1
1989,42,309668,2
1989,43,181163,1
1989,43,202009,2
1989,44,210991,1
1989,44,237363,2
1989,45,198678,1
1989,45,222868,2
1989,46,246684,1
1989,46,281601,2
1989,47,337941,1
1989,47,381218,2
1989,48,342251,1
1989,48,390299,2
1989,49,378488,1
1989,49,440594,2
1989,50,405192,1
1989,50,475089,2
1989,51,428888,1
1989,51,490721,2
1989,52,352047,1
1989,52,405164,2
1989,53,302219,1
1989,53,341309,2
1989,54,237263,1
1989,54,266450,2
1989,55,201486,1
1989,55,236385,2
1989,56,248080,1
1989,56,307450,2
1989,57,259637,1
1989,57,316730,2
1989,58,312694,1
1989,58,398160,2
1989,59,294377,1
1989,59,380545,2
1989,60,309841,1
1989,60,415195,2
1989,61,289783,1
1989,61,392852,2
1989,62,252197,1
1989,62,396793,2
1989,63,222412,1
1989,63,379047,2
1989,64,200714,1
1989,64,374278,2
1989,65,176425,1
1989,65,337763,2
1989,66,144950,1
1989,66,307433,2
1989,67,131395,1
1989,67,265449,2
1989,68,108535,1
1989,68,226483,2
1989,69,102297,1
1989,69,219660,2
1989,70,104614,1
1989,70,231430,2
1989,71,64816,1
1989,71,145290,2
1989,72,68603,1
1989,72,163322,2
1989,73,81736,1
1989,73,193466,2
1989,74,100189,1
1989,74,260239,2
1989,75,91415,1
1989,75,222941,2
1989,76,93374,1
1989,76,252503,2
1989,77,76578,1
1989,77,190244,2
1989,78,73652,1
1989,78,208216,2
1989,79,59937,1
1989,79,156056,2
1990,0,352522,1
1990,0,335605,2
1990,1,380267,1
1990,1,362021,2
1990,2,379354,1
1990,2,362989,2
1990,3,398030,1
1990,3,382896,2
1990,4,386286,1
1990,4,374139,2
1990,5,397974,1
1990,5,382253,2
1990,6,404597,1
1990,6,391306,2
1990,7,374984,1
1990,7,361085,2
1990,8,362209,1
1990,8,350422,2
1990,9,374491,1
1990,9,360813,2
1990,10,366802,1
1990,10,353209,2
1990,11,364897,1
1990,11,353218,2
1990,12,358238,1
1990,12,348047,2
1990,13,374567,1
1990,13,363691,2
1990,14,368090,1
1990,14,359195,2
1990,15,370365,1
1990,15,359739,2
1990,16,373279,1
1990,16,356708,2
1990,17,388531,1
1990,17,372229,2
1990,18,370674,1
1990,18,353298,2
1990,19,346604,1
1990,19,342551,2
1990,20,324792,1
1990,20,319683,2
1990,21,327289,1
1990,21,328804,2
1990,22,335241,1
1990,22,326939,2
1990,23,339661,1
1990,23,335874,2
1990,24,331750,1
1990,24,331207,2
1990,25,351303,1
1990,25,351115,2
1990,26,373741,1
1990,26,377202,2
1990,27,386329,1
1990,27,391416,2
1990,28,394856,1
1990,28,399436,2
1990,29,411831,1
1990,29,415661,2
1990,30,402297,1
1990,30,411428,2
1990,31,396902,1
1990,31,405249,2
1990,32,390979,1
1990,32,399770,2
1990,33,381487,1
1990,33,394305,2
1990,34,364733,1
1990,34,377968,2
1990,35,376286,1
1990,35,391994,2
1990,36,349901,1
1990,36,366551,2
1990,37,368623,1
1990,37,386077,2
1990,38,363619,1
1990,38,379263,2
1990,39,361510,1
1990,39,382355,2
1990,40,380440,1
1990,40,406468,2
1990,41,320468,1
1990,41,344694,2
1990,42,287632,1
1990,42,311224,2
1990,43,274546,1
1990,43,302055,2
1990,44,179601,1
1990,44,201856,2
1990,45,214931,1
1990,45,241642,2
1990,46,194441,1
1990,46,219606,2
1990,47,254314,1
1990,47,289885,2
1990,48,329383,1
1990,48,375044,2
1990,49,342436,1
1990,49,392971,2
1990,50,375421,1
1990,50,441018,2
1990,51,400020,1
1990,51,472350,2
1990,52,424131,1
1990,52,488750,2
1990,53,344653,1
1990,53,400038,2
1990,54,297453,1
1990,54,338658,2
1990,55,227760,1
1990,55,259023,2
1990,56,197711,1
1990,56,234948,2
1990,57,246548,1
1990,57,308934,2
1990,58,261294,1
1990,58,322269,2
1990,59,296344,1
1990,59,381177,2
1990,60,292886,1
1990,60,383248,2
1990,61,301355,1
1990,61,410137,2
1990,62,281255,1
1990,62,386798,2
1990,63,243509,1
1990,63,390404,2
1990,64,214022,1
1990,64,372572,2
1990,65,194055,1
1990,65,369345,2
1990,66,166625,1
1990,66,326580,2
1990,67,138869,1
1990,67,301648,2
1990,68,125330,1
1990,68,258182,2
1990,69,103161,1
1990,69,219641,2
1990,70,100962,1
1990,70,227952,2
1990,71,89877,1
1990,71,192789,2
1990,72,64494,1
1990,72,153160,2
1990,73,64610,1
1990,73,157870,2
1990,74,76812,1
1990,74,186416,2
1990,75,93266,1
1990,75,249580,2
1990,76,84161,1
1990,76,209710,2
1990,77,85727,1
1990,77,238935,2
1990,78,69153,1
1990,78,187615,2
1990,79,67044,1
1990,79,170551,2
1991,0,333778,1
1991,0,317211,2
1991,1,352870,1
1991,1,336108,2
1991,2,380815,1
1991,2,362501,2
1991,3,380973,1
1991,3,364403,2
1991,4,399856,1
1991,4,384603,2
1991,5,388243,1
1991,5,375319,2
1991,6,399552,1
1991,6,383697,2
1991,7,406417,1
1991,7,392458,2
1991,8,376274,1
1991,8,361647,2
1991,9,363290,1
1991,9,351469,2
1991,10,375371,1
1991,10,361698,2
1991,11,366655,1
1991,11,353101,2
1991,12,364744,1
1991,12,353271,2
1991,13,357746,1
1991,13,347474,2
1991,14,374246,1
1991,14,363743,2
1991,15,370713,1
1991,15,361873,2
1991,16,370474,1
1991,16,360509,2
1991,17,373295,1
1991,17,359332,2
1991,18,380980,1
1991,18,370949,2
1991,19,365630,1
1991,19,353121,2
1991,20,347904,1
1991,20,344178,2
1991,21,327608,1
1991,21,320938,2
1991,22,328031,1
1991,22,329505,2
1991,23,334884,1
1991,23,327443,2
1991,24,338821,1
1991,24,336697,2
1991,25,331477,1
1991,25,332455,2
1991,26,350885,1
1991,26,351914,2
1991,27,372955,1
1991,27,377976,2
1991,28,385121,1
1991,28,391793,2
1991,29,394029,1
1991,29,400022,2
1991,30,411047,1
1991,30,416588,2
1991,31,400217,1
1991,31,411682,2
1991,32,395306,1
1991,32,405736,2
1991,33,388920,1
1991,33,399299,2
1991,34,380121,1
1991,34,394509,2
1991,35,362767,1
1991,35,377784,2
1991,36,374288,1
1991,36,391859,2
1991,37,347532,1
1991,37,366061,2
1991,38,366680,1
1991,38,385506,2
1991,39,361933,1
1991,39,379271,2
1991,40,359788,1
1991,40,382165,2
1991,41,378105,1
1991,41,405966,2
1991,42,318195,1
1991,42,344012,2
1991,43,285548,1
1991,43,310646,2
1991,44,272612,1
1991,44,301801,2
1991,45,178667,1
1991,45,201725,2
1991,46,213481,1
1991,46,241270,2
1991,47,192795,1
1991,47,219183,2
1991,48,251903,1
1991,48,289080,2
1991,49,326270,1
1991,49,374326,2
1991,50,338858,1
1991,50,392104,2
1991,51,370975,1
1991,51,439450,2
1991,52,394807,1
1991,52,470134,2
1991,53,418136,1
1991,53,486483,2
1991,54,339568,1
1991,54,397967,2
1991,55,292512,1
1991,55,336935,2
1991,56,223704,1
1991,56,257476,2
1991,57,193666,1
1991,57,232738,2
1991,58,241037,1
1991,58,305978,2
1991,59,255486,1
1991,59,318779,2
1991,60,289975,1
1991,60,378497,2
1991,61,284799,1
1991,61,378214,2
1991,62,292726,1
1991,62,404468,2
1991,63,272791,1
1991,63,381250,2
1991,64,235181,1
1991,64,384081,2
1991,65,206176,1
1991,65,366123,2
1991,66,186403,1
1991,66,361951,2
1991,67,159570,1
1991,67,319453,2
1991,68,132673,1
1991,68,294555,2
1991,69,119385,1
1991,69,251871,2
1991,70,97838,1
1991,70,213251,2
1991,71,95210,1
1991,71,219843,2
1991,72,84645,1
1991,72,187088,2
1991,73,60080,1
1991,73,146227,2
1991,74,60053,1
1991,74,150659,2
1991,75,71019,1
1991,75,177005,2
1991,76,85579,1
1991,76,236197,2
1991,77,76807,1
1991,77,197261,2
1991,78,77666,1
1991,78,223593,2
1991,79,62137,1
1991,79,173689,2
1992,0,323446,1
1992,0,306206,2
1992,1,334189,1
1992,1,317853,2
1992,2,353785,1
1992,2,336926,2
1992,3,381403,1
1992,3,363292,2
1992,4,382792,1
1992,4,365966,2
1992,5,401783,1
1992,5,386492,2
1992,6,390194,1
1992,6,376972,2
1992,7,401494,1
